sim_time,event,data
0.00,BID,north=1.301 south=1.376
0.03,AUCTION_RESULT,"self=(0.6, 0.25) teammate_bid_received=True"
0.06,STATE,SEEK_FLAG x=-0.700 y=0.200
5.09,STATE,EVADE_GUARD x=-0.057 y=0.220
5.09,GUARD_SEEN,"pos=(0.29,0.17)"
5.12,GUARD_SEEN,"pos=(0.29,-0.10)"
5.63,STATE,SEEK_FLAG x=-0.018 y=0.234
6.82,STATE,EVADE_GUARD x=0.116 y=0.282
9.06,STATE,AVOID_OBSTACLE x=0.204 y=0.417
10.98,STATE,EVADE_GUARD x=0.204 y=0.417
11.07,STATE,AVOID_OBSTACLE x=0.204 y=0.417
12.03,STATE,SEEK_FLAG x=0.204 y=0.417
14.56,STATE,EVADE_GUARD x=0.176 y=0.243
14.56,GUARD_SEEN,"pos=(0.39,-0.28)"
15.04,STATE,SEEK_FLAG x=0.186 y=0.208
23.49,FLAG_CAPTURED,"pos=(0.93,0.21)"
23.49,BROADCAST,FLAG_CAPTURED
23.49,STATE,RETURN_TO_BASE x=0.925 y=0.211
25.34,STATE,AVOID_OBSTACLE x=0.978 y=0.064
26.30,STATE,RETURN_TO_BASE x=0.977 y=0.064
26.34,STATE,AVOID_OBSTACLE x=0.977 y=0.064
27.30,STATE,RETURN_TO_BASE x=0.977 y=0.064
31.14,STATE,AVOID_OBSTACLE x=0.820 y=0.331
32.10,STATE,RETURN_TO_BASE x=0.820 y=0.331
45.76,FLAG_DELIVERED,"pos=(-0.51,0.16)"
